#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B80EE1
#Date Time: 2025-11-12 12:40:23.317
#Sample rate: 37147.1Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 1.5 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 1.16 kHz
#Period: 862.0689655 us
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.035184591645085736,-0.10517864423750899,3.2525134490062224
-0.035157671645085736,-0.09583053619123673,-0.00913720713754267
-0.03513075164508574,-0.07613273709373448,-0.05715697897204884
-0.03510383164508574,-0.05343018898135902,-0.05715697897204884
-0.03507691164508574,-0.02905833586072065,-0.053463150369394516
-0.03504999164508574,-0.004686482740082276,1.3391102328312845
-0.03502307164508574,0.009669540330978683,3.2562072776088766
-0.03499615164508574,0.027364173418565445,0.2789814238694943
-0.03496923164508574,0.051068304535898654,-0.06085080757470316
-0.03494231164508574,0.07310313064496897,-0.05715697897204884
-0.03491539164508574,0.09179934673751347,-0.05715697897204884
-0.03488847164508574,0.10615536980857443,1.0546854304269018
-0.03486155164508574,0.10749081381518476,3.2525134490062224
-0.03483463164508574,0.1014813157854383,3.2562072776088766
-0.03480771164508574,0.09246706874081863,2.2847303551107903
-0.03478079164508574,0.08879459772264024,-0.053463150369394516
-0.03475387164508574,0.08545598770611444,-0.06085080757470316
-0.03472695164508574,0.07844490667141026,0.770260628022519
-0.03470003164508574,0.05974869057886575,3.2525134490062224
-0.03467311164508574,0.03804772547144802,0.851524857280914
-0.03464619164508574,0.025027146406997384,-0.05715697897204884
-0.03461927164508574,0.010671123335936424,-0.05715697897204884
-0.03459235164508574,-0.0033510387334719544,-0.05715697897204884
-0.03456543164508574,-0.017373200802880333,-0.05715697897204884
-0.03453851164508574,-0.03039377986733097,-0.05715697897204884
-0.03451159164508574,-0.04508366394004451,2.0667944675541854
-0.03448467164508574,-0.06711849004911481,2.8535799599195557
-0.034457751645085744,-0.07980520811191287,-0.0497693217667402
-0.034430831645085744,-0.08648242814496448,1.9190413234480128
-0.034403911645085744,-0.09916914620776254,3.2562072776088766
-0.034376991645085744,-0.10985269826064512,3.2562072776088766
-0.034350071645085745,-0.11552833528873899,3.2562072776088766
-0.03432315164508574,-0.11719764029700189,3.2525134490062224
-0.03429623164508574,-0.11419289128212866,3.2562072776088766
-0.03426931164508574,-0.10517864423750899,1.5607399489905436
-0.03424239164508574,-0.08247609612513351,-0.05715697897204884
-0.03421547164508574,-0.06177671402267353,3.222962820184988
-0.03418855164508574,-0.04508366394004451,3.259901106211531
-0.03416163164508574,-0.027389030852457745,3.259901106211531
-0.03413471164508574,-0.008358953758260661,3.2562072776088766
-0.03410779164508574,0.012006567342546745,1.8451647513949263
-0.03408087164508574,0.041386335487973824,-0.053463150369394516
-0.03405395164508574,0.06642591061191735,2.9348441891779506
-0.03402703164508574,0.08044807268132574,3.259901106211531
-0.03400011164508574,0.09146548573586089,3.2562072776088766
-0.033973191645085735,0.09914428877387024,3.2562072776088766
-0.033946271645085735,0.10348448179535379,2.1258957251966546
-0.033919351645085735,0.1135003118449312,-0.053463150369394516
-0.033892431645085735,0.12184683688624572,-0.05715697897204884
-0.033865511645085736,0.1251854469027715,0.9290952579366547
-0.033838591645085736,0.11450189484988894,3.2562072776088766
-0.033811671645085736,0.09580567875734443,3.2562072776088766
-0.03378475164508574,0.07443857465157928,3.2562072776088766
-0.03375783164508574,0.04973286052928833,3.2525134490062224
-0.03373091164508574,0.026696451415260284,0.8330557142676425
-0.03370399164508574,0.012674289345851906,-0.05715697897204884
-0.03367707164508574,-0.0016817337252090522,-0.053463150369394516
-0.03365015164508574,-0.01570389579461743,-0.053463150369394516
-0.03362323164508574,-0.029392196862373227,0.5079987972340623
-0.03359631164508574,-0.05009157896483322,3.2525134490062224
-0.03356939164508574,-0.07312798807886127,3.259901106211531
-0.03354247164508574,-0.09349350917966867,2.8388046455089384
-0.03351555164508574,-0.10217389522263576,-0.04607549316408588
-0.03348863164508574,-0.1015061732193306,-0.05715697897204884
-0.03346171164508574,-0.09716598019784706,-0.05715697897204884
-0.03343479164508574,-0.08948717715983771,-0.053463150369394516
-0.03340787164508574,-0.07980520811191287,1.7971449795604202
-0.03338095164508574,-0.07746818110034481,3.2562072776088766
-0.03335403164508574,-0.07312798807886127,3.259901106211531
-0.03332711164508574,-0.06611690704415708,3.2562072776088766
-0.03330019164508574,-0.05643493799623225,3.2562072776088766
-0.03327327164508574,-0.0384064439069929,-0.038687835958777235
-0.03324635164508574,-0.013700729784701948,1.5090263485533832
-0.03321943164508574,0.0013230152896641716,3.2562072776088766
-0.03319251164508574,0.014677455355767388,3.259901106211531
-0.03316559164508574,0.028699617425175766,1.8266956083816548
-0.03313867164508574,0.05140216553755124,-0.053463150369394516
-0.033111751645085744,0.07377085264827413,-0.05715697897204884
-0.033084831645085744,0.09246706874081863,1.2282953747516547
-0.033057911645085744,0.09780884476725991,3.2562072776088766
-0.033030991645085744,0.10181517678709089,0.3934901105517783
-0.033004071645085745,0.10949397982510023,1.0879298878507906
-0.03297715164508574,0.10348448179535379,3.2525134490062224
-0.03295023164508574,0.09513795675403927,0.5338555974526424
-0.03292331164508574,0.09146548573586089,0.943870572347272
-0.03289639164508574,0.07510629665488446,3.2525134490062224
-0.03286947164508574,0.05273760954416156,3.259901106211531
-0.03284255164508574,0.028365756423523188,3.2562072776088766
-0.03281563164508574,0.003326181299579654,3.2562072776088766
-0.03278871164508574,-0.018040922806185494,0.8182803998570252
-0.03276179164508574,-0.030059918865678388,0.6594457699428893
-0.03273487164508574,-0.048756134958222896,3.2525134490062224
-0.03270795164508574,-0.06678462904746224,0.966033543963198
-0.03268103164508574,-0.07279412707720868,0.5190802830420251
-0.03265411164508574,-0.08347767913009126,3.2525134490062224
-0.032627191645085735,-0.09282578717636351,1.1063990308640623
-0.032600271645085735,-0.08915331615818513,0.3824086247438153
-0.032573351645085735,-0.08948717715983771,3.248819620403568
-0.032546431645085735,-0.08881945515653254,1.2504583463675807
-0.032519511645085736,-0.07513115408877676,0.23834930924029682
-0.032492591645085736,-0.06511532403919934,3.2451257918009135
-0.032465671645085736,-0.05610107699457966,1.3908238332684448
-0.03243875164508574,-0.035401694892119674,-0.053463150369394516
-0.03241183164508574,-0.012031424776439046,-0.053463150369394516
-0.03238491164508574,0.010003401332631263,1.6752486356728276
-0.03235799164508574,0.02168853639047158,3.259901106211531
-0.03233107164508574,0.03103664443674383,3.259901106211531
-0.03230415164508574,0.03938316947805834,3.2562072776088766
-0.03227723164508574,0.04572652850945737,3.2562072776088766
-0.03225031164508574,0.050734443534246075,3.2562072776088766
-0.03222339164508574,0.05474077555407704,1.8156141225736917
-0.03219647164508574,0.06675977161356994,-0.053463150369394516
-0.03216955164508574,0.07276926964331638,2.971782475204494
-0.03214263164508574,0.06842907662183284,3.2635949348141855
-0.03211571164508574,0.06141799558712865,3.259901106211531
-0.03208879164508574,0.057077802565645104,0.37502096753850667
-0.03206187164508574,0.05908096857556059,-0.05715697897204884
-0.03203495164508574,0.058747107573908004,-0.053463150369394516
-0.03200803164508574,0.05173602653920382,2.687357672800111
-0.03198111164508574,0.03437525445326964,3.259901106211531
-0.03195419164508574,0.01567903836072513,3.259901106211531
-0.03192727164508574,-0.0033510387334719544,3.259901106211531
-0.03190035164508574,-0.02204725482601646,2.384463727382457
-0.03187343164508574,-0.03039377986733097,-0.0497693217667402
-0.03184651164508574,-0.033732389883856774,-0.05715697897204884
-0.03181959164508574,-0.03573555589377226,-0.053463150369394516
-0.03179267164508574,-0.03640327789707742,-0.053463150369394516
-0.031765751645085744,-0.03573555589377226,-0.053463150369394516
-0.031738831645085744,-0.033732389883856774,-0.053463150369394516
-0.031711911645085744,-0.030059918865678388,-0.053463150369394516
-0.031684991645085744,-0.028056752855762906,2.1148142393886915
-0.031658071645085745,-0.03440011188716194,3.259901106211531
-0.03163115164508574,-0.04040960991690838,3.259901106211531
-0.03160423164508574,-0.04241277592682387,1.2282953747516547
-0.03157731164508574,-0.033398528882204195,-0.05715697897204884
-0.03155039164508574,-0.021045671821058716,-0.053463150369394516
-0.03152347164508574,-0.010695980769828724,1.830389436984309
-0.03149655164508574,-0.010028258766523563,3.0936788190920863
-0.03146963164508574,-0.0023494557285142132,-0.042381664561431553
-0.03144271164508574,0.009335679329326102,1.6863301214807906
-0.03141579164508574,0.011004984337589004,3.234044305992951
-0.03138887164508574,0.01701448236733545,-0.042381664561431553
-0.03136195164508574,0.027698034420218027,1.542270805977272
-0.03133503164508574,0.027698034420218027,3.259901106211531
-0.031308111645085734,0.03070278343509125,0.07582085072350671
-0.031281191645085735,0.03804772547144802,1.401905319076408
-0.031254271645085735,0.03470911545492222,3.259901106211531
-0.03122735164508574,0.028031895421870606,3.259901106211531
-0.03120043164508574,0.020019231382208676,3.259901106211531
-0.03117351164508574,0.011672706340894165,3.259901106211531
-0.03114659164508574,0.0076663743210632,0.3602456531278894
-0.03111967164508574,0.011672706340894165,-0.05715697897204884
-0.03109275164508574,0.01567903836072513,-0.053463150369394516
-0.03106583164508574,0.018683787375598355,-0.0497693217667402
-0.03103891164508574,0.021354675388818998,-0.053463150369394516
-0.03101199164508574,0.0230239803970819,-0.053463150369394516
-0.03098507164508574,0.020019231382208676,2.55807367170721
-0.030958151645085738,0.006664791316105458,3.259901106211531
-0.03093123164508574,-0.006021926746692598,3.259901106211531
-0.03090431164508574,-0.015036173791312269,0.7850359424331363
-0.03087739164508574,-0.014034590786354528,-0.05715697897204884
-0.03085047164508574,-0.012365285778091626,-0.053463150369394516
-0.03082355164508574,-0.013033007781396787,2.273648869302827
-0.03079663164508574,-0.02271497682932162,2.6541132153762224
-0.03076971164508574,-0.02338269883262678,-0.04607549316408588
-0.03074279164508574,-0.018374783807838073,-0.05715697897204884
-0.03071587164508574,-0.012699146779744206,0.41195925356504987
-0.03068895164508574,-0.014702312789659689,3.2562072776088766
-0.03066203164508574,-0.018708644809490655,1.2172138889436919
-0.030635111645085738,-0.012031424776439046,-0.053463150369394516
-0.030608191645085738,-0.004018760736777116,-0.05715697897204884
-0.03058127164508574,0.001656876291316752,1.8451647513949263
-0.03055435164508574,-0.002015594726861633,3.259901106211531
-0.03052743164508574,-0.006689648749997759,3.259901106211531
-0.03050051164508574,-0.011029841771481304,3.2562072776088766
-0.03047359164508574,-0.014702312789659689,3.2192689915823336
-0.03044667164508574,-0.011363702773133885,-0.042381664561431553
-0.03041975164508574,-0.0010140117219038915,-0.05715697897204884
-0.03039283164508574,0.009669540330978683,-0.053463150369394516
-0.03036591164508574,0.013675872350809647,3.1490862481319013
-0.03033899164508574,0.011338845339241585,1.7897573223551115
-0.03031207164508574,0.018683787375598355,-0.053463150369394516
-0.030285151645085738,0.02168853639047158,3.0013331040257287
-0.03025823164508574,0.017348343368988033,1.9301228092559757
-0.03023131164508574,0.02235625839377674,-0.0497693217667402
-0.03020439164508574,0.023691702400387062,2.85727378852221
-0.03017747164508574,0.017348343368988033,2.0704882961568396
-0.03015055164508574,0.019685370380556094,-0.053463150369394516
-0.03012363164508574,0.019351509378903516,2.7132144730186916
-0.03009671164508574,0.010003401332631263,3.259901106211531
-0.03006979164508574,0.0006552932863590108,3.259901106211531
-0.03004287164508574,-0.009026675761565822,3.259901106211531
-0.03001595164508574,-0.017707061804532912,2.3549130985612226
